CIK,revenue,Cluster
0000006951,25785000000.0,0
0000008670,18012200000.0,0
0000105770,2886900000.0,1
0001403568,10208580000.0,1
0000865752,6311050000.0,1
0000052988,16352414000.0,0
0000891103,3188843000.0,1
0001043277,24700000000.0,0
0000723531,5007100000.0,1
0000712515,7426000000.0,1
0000882095,27300000000.0,0
0000004281,5663000000.0,1
0000886982,47000000000.0,2
0000277135,15228000000.0,0
0000745732,18696000000.0,0
0000796343,17606000000.0,0
0001000228,12647000000.0,0
0001000697,2971956.0,1
0000002969,12600000000.0,0
0001136869,6939900000.0,1
0000037996,136341000000.0,3
0001466258,15991700000.0,0
0000048465,12500000000.0,0
0000858470,9051000000.0,1
0000051644,10927800000.0,0
0000091419,8529200000.0,1
0000313927,5375600000.0,1
0001781335,13685000000.0,0
0000857005,2097100000.0,1
0000033185,5122200000.0,1
0001707925,33364000000.0,0
0000864749,3676300000.0,1
0000702165,12745000000.0,0
0000074208,511600000.0,1
0000316709,20800000000.0,0
0001637459,26485000000.0,0
0000073124,6760000000.0,1
0001297996,4691834.0,1
0000920522,1595675.0,1
0001267238,276600000.0,1
0001091667,54022000000.0,2
0001326801,116610000000.0,3
0000004127,4772400000.0,1
0000718877,7500000000.0,1
0001596532,4381310000.0,1
0001374310,3958500000.0,1
0000936340,19200000000.0,0
0001048695,2813169.0,1
0000026172,28074000000.0,0
0000883241,5081500000.0,1
0000940944,10490000000.0,0
0000062996,8680000000.0,1
0000878927,6260077.0,1
0000277948,14900000000.0,0
0000096943,2791000000.0,1
0001037038,6444000000.0,1
0001097864,8326200000.0,1
0000851968,11737065.0,1
0001103982,31500000000.0,0
0000100493,52900000000.0,2
0000038777,7849000000.0,1
0001730168,33203000000.0,0
0000051253,12440000000.0,0
0001037868,6150530000.0,1
0000769397,5005000000.0,1
0001278021,718300.0,1
0001280452,1794148000.0,1
0000813672,3561700000.0,1
0001410636,3792000000.0,1
0000047217,62983000000.0,2
0001754301,14913000000.0,0
0000027904,50582000000.0,2
0000732717,120741000.0,1
0000021665,17967000000.0,0
0000927653,276711000.0,1
0000813828,30154000000.0,0
0001012100,5641900000.0,1
0000789570,13127485.0,1
0000018230,59427000000.0,2
0000731766,324162000000.0,3
0001260221,6585000000.0,1
0000764478,46300000000.0,2
0000059478,28541000000.0,0
0000927628,34300000000.0,0
0000010456,15100000000.0,0
0000906163,10526434.0,1
0001418135,14057000000.0,0
0000898173,14410000000.0,0
0000908255,15801000000.0,0
0001413447,13205000000.0,0
0001571949,7292000000.0,1
0001047862,15670000000.0,0
0001156039,155660000000.0,3
0000006281,12305539.0,1
0001402057,23748700000.0,0
0000097745,44915000000.0,2
0000900075,3198128.0,1
0001289490,1924170.0,1
0000093751,12148.0,1
0000315293,12500000000.0,0
0001099800,5382000000.0,1
0000720005,11620000000.0,0
0000823768,19698000000.0,0
0001618921,139081000000.0,3
0001111711,5850600000.0,1
0001604778,3569000000.0,1
0001370637,2600000000.0,1
0000062709,20700000000.0,0
0000858877,56998000000.0,2
0000097476,20030000000.0,0
0001013462,2065553.0,1
0000060667,97059000000.0,2
0001467858,156735000000.0,3
0000872589,12172900000.0,0
0000879169,3394600000.0,1
0000707549,17428516.0,1
0000783325,4972800000.0,1
0001418091,5080000000.0,1
0001097149,3734600000.0,1
0000078239,9024000000.0,1
0001352010,4824700000.0,1
0000092122,24900000000.0,0
0000037785,5802300000.0,1
0000100517,44955000000.0,2
0001140859,262173411.0,1
0001682852,18400000000.0,0
0001474735,4564737000.0,1
0000320193,383300000000.0,3
0000832101,3200000000.0,1
0000016918,9452600000.0,1
0001725057,1246200000.0,1
0001478242,14410000000.0,0
0001014473,1424900000.0,1
0000104169,611289000000.0,3
0001652044,282836000000.0,3
0001094285,5458600000.0,1
0001551152,58100000000.0,2
0001463101,2330853000.0,1
0000915389,10580000000.0,0
0001383312,6060900000.0,1
0000740260,1840000000.0,1
0001705696,2600697000.0,1
0001130310,8358000000.0,1
0000315213,7240000000.0,1
0001659166,5825700000.0,1
0001065696,12794000000.0,0
0001067701,11642000000.0,0
0000877212,5781000000.0,1
0000027419,109120000000.0,3
0001633917,27500000000.0,0
0001751788,57000000000.0,2
0000849399,3338000000.0,1
0000047111,10419000000.0,0
0000024741,14189000000.0,0
0000910606,1224022000.0,1
0001037646,3900000000.0,1
0000896159,11200000000.0,0
0001053507,10711100000.0,0
0000046080,5856700000.0,1
0000310764,18449.0,1
0000882835,5371800000.0,1
0000310158,59283000000.0,2
0001090727,100338000000.0,2
0000101829,67074000000.0,2
0000798354,17737000000.0,0
0001045810,26970000000.0,0
0001100682,3976060.0,1
0000749251,5500000000.0,1
0001001250,15910000000.0,0
0001513761,4800000000.0,1
0001071739,144547000000.0,3
0001065280,31615550.0,1
0000009389,15349000000.0,0
0001744489,88898000000.0,2
0001699150,5916300000.0,1
0000007084,101600000000.0,3
0001519751,4723000000.0,1
0001060391,13511300000.0,0
0001058090,8600000000.0,1
0001018724,513983000000.0,3
0001126328,17491600000.0,0
0000087347,28100000000.0,0
0000079879,17700000000.0,0
0000875320,8930700000.0,1
0000072331,2590278.0,1
0001140536,8866000000.0,1
0001590955,1375218.0,1
0001166691,121427000000.0,3
0000089800,22149000000.0,0
0001467373,64100000000.0,2
0000109198,49900000000.0,2
0001170010,29684873.0,1
0001090872,6848000000.0,1
0001601046,5420000000.0,1
0000319201,10496056.0,1
0001396009,7315200000.0,1
0000106040,12318000000.0,0
0001403161,32653000000.0,0
0000004962,52862000000.0,2
0000766421,9646000000.0,1
0000016732,9357000000.0,1
0001524472,5522000000.0,1
0000728535,14810000000.0,0
0001175454,3427100000.0,1
0001043604,5301200000.0,1
0000920760,31778885.0,1
0001306830,9673000000.0,1
0000012927,66608000000.0,2
0000829224,36000000000.0,0
0001501585,10700000000.0,0
0001156375,5019000000.0,1
0001013237,1600000000.0,1
0001137774,60050000000.0,2
0000732712,136835000000.0,3
0000084839,2700000000.0,1
0000759944,8000000000.0,1
0000943452,8362000000.0,1
0000006769,9028000000.0,1
0000029905,8500000000.0,1
0001136893,14528000000.0,0
0001058290,19400000000.0,0
0000882184,35500000000.0,0
0001757898,4957839000.0,1
0000877890,3220000000.0,1
